album title,song title,song id,year
New Morning,The Man in Me,199483,1970
N/A,The Man in Me,199483,N/A
Self Portrait,The Mighty Quinn (Quinn the Eskimo) (Live),1211925,1970
N/A,The Mighty Quinn (Quinn the Eskimo) (Live),1211925,N/A
N/A,The Night They Drove Old Dixie Down,927766,N/A
Shadows in the Night,The Night We Called It a Day,691956,2015
N/A,The Night We Called It a Day,691956,N/A
N/A,The Shape I'm In,1670429,N/A
N/A,The Sound of Silence,1816309,N/A
N/A,The Times They Are A-Changin',62605,N/A
Biograph,The Times They Are A-Changin',62605,1985
The Times They Are A-Changin',The Times They Are A-Changin',62605,1964
The Essential Bob Dylan,The Times They Are A-Changin',62605,2000
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",The Times They Are A-Changin',62605,2004
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",The Times They Are A-Changin',62605,2010
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,The Times They Are A-Changin',62605,1991
Bob Dylan's Greatest Hits,The Times They Are A-Changin',62605,1967
Bob Dylan at Budokan,The Times They Are A-Changin' [At Budokan],4833201,1979
N/A,The Times They Are A-Changin' [At Budokan],4833201,N/A
MTV Unplugged,The Times They Are A-Changin' [MTV Unplugged],4847076,1995
N/A,The Times They Are A-Changin' [MTV Unplugged],4847076,N/A
N/A,The Times They Are a-Changin' (French Version),2362950,N/A
N/A,The Usual,1478023,N/A
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue",The Water Is Wide,201582,2002
N/A,The Water Is Wide,201582,N/A
N/A,The Weight,199599,N/A
N/A,The Weight - Remastered,1981142,N/A
John Wesley Harding,The Wicked Messenger,117562,1967
N/A,The Wicked Messenger,117562,N/A
Triplicate,There's a Flaw in My Flue,3030349,2017
N/A,There's a Flaw in My Flue,3030349,N/A
N/A,These Foolish Things,3030355,N/A
Triplicate,These Foolish Things,3030355,2017
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),These Hands,5672713,2013
N/A,These Hands,5672713,N/A
Knocked Out Loaded,They Killed Him,200038,1986
N/A,They Killed Him,200038,N/A
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,Things Have Changed,201451,2008
N/A,Things Have Changed,201451,N/A
The Essential Bob Dylan,Things Have Changed,201451,2000
N/A,Things We Said Today,4799040,N/A
N/A,Thirsty Boots,1285981,N/A
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),Thirsty Boots,1285981,2013
Together Through Life,This Dream of You,201711,2009
N/A,This Dream of You,201711,N/A
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),This Evening So Soon,2227217,2013
N/A,This Evening So Soon,2227217,N/A
The Bootleg Series Vol. 7: No Direction Home: The Soundtrack,This Land Is Your Land,201625,2005
N/A,This Land Is Your Land,201625,N/A
N/A,This Nearly Was Mine,3019262,N/A
Triplicate,This Nearly Was Mine,3019262,2017
N/A,This Old Man,1104181,N/A
N/A,Three Angels,199485,N/A
New Morning,Three Angels,199485,1970
The Essential Bob Dylan,Thunder on the Mountain,201544,2000
N/A,Thunder on the Mountain,201544,N/A
Modern Times,Thunder on the Mountain,201544,2006
N/A,Tight Connection To My Heart,1165422,N/A
N/A,Tight Connection to My Heart (Has Anyone Seen My Love),199969,N/A
Empire Burlesque,Tight Connection to My Heart (Has Anyone Seen My Love),199969,1985
Time Out of Mind,Til I Fell in Love with You,201116,1997
N/A,Til I Fell in Love with You,201116,N/A
N/A,Time Passes Slowly,199444,N/A
Biograph,Time Passes Slowly,199444,1985
New Morning,Time Passes Slowly,199444,1970
N/A,Time Passes Slowly #1,5672712,N/A
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),Time Passes Slowly #1,5672712,2013
N/A,Time Passes Slowly #2,5672761,N/A
The Bootleg Series Vol. 10: Another Self Portrait (1969-1971),Time Passes Slowly #2,5672761,2013
N/A,Tin Angel,83603,N/A
Tempest,Tin Angel,83603,2012
N/A,To Be Alone with You,199313,N/A
Nashville Skyline,To Be Alone with You,199313,1969
"The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969",To Be Alone with You,199313,2019
N/A,To Fall in Love with You,2907376,N/A
Another Side of Bob Dylan,To Ramona,117538,1964
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall",To Ramona,117538,2004
Biograph,To Ramona,117538,1985
N/A,To Ramona,117538,N/A
N/A,Tombstone Blues,60792,N/A
Biograph,Tombstone Blues,60792,1985
The Bootleg Series Vol. 7: No Direction Home: The Soundtrack,Tombstone Blues,60792,2005
Highway 61 Revisited,Tombstone Blues,60792,1965
The Bootleg Series Vol. 12: The Cutting Edge 1965-1966,Tombstone Blues,60792,2015
The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition),Tombstone Blues (Take 1),6223028,2016
N/A,Tombstone Blues [MTV Unplugged],4847065,N/A
MTV Unplugged,Tombstone Blues [MTV Unplugged],4847065,1995
N/A,Tombstone Blues [Real Live],4833485,N/A
Real Live,Tombstone Blues [Real Live],4833485,1984
Bob Dylan's Greatest Hits Vol. II ,Tomorrow Is a Long Time,199469,1971
N/A,Tomorrow Is a Long Time,199469,N/A
N/A,Tomorrow Is a Long Time (Demo),4000491,N/A
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964",Tomorrow Is a Long Time (Demo),4000491,2010
Good as I Been to You,Tomorrow Night,200852,1992
N/A,Tomorrow Night,200852,N/A
N/A,Tonight I'll Be Staying Here With You - Rolling Thunder Revue Version,4734885,N/A
Nashville Skyline,Tonight I'll Be Staying Here with You,199324,1969
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue",Tonight I'll Be Staying Here with You,199324,2002
Bob Dylan's Greatest Hits Vol. II ,Tonight I'll Be Staying Here with You,199324,1971
N/A,Tonight I'll Be Staying Here with You,199324,N/A
Planet Waves,Tough Mama,199559,1974
N/A,Tough Mama,199559,N/A
Triplicate,Trade Winds,3030277,2017
N/A,Trade Winds,3030277,N/A
N/A,Trail of the Buffalo,1131944,N/A
N/A,Train Of Love,1710307,N/A
N/A,Trouble,199943,N/A
Shot of Love,Trouble,199943,1981
N/A,Trouble in Mind,1536977,N/A
Street-Legal,True Love Tends to Forget,199734,1978
N/A,True Love Tends to Forget,199734,N/A
N/A,Trust Yourself,105211,N/A
Empire Burlesque,Trust Yourself,105211,1985
N/A,Try Me Little Girl,1476439,N/A
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,Tryin' to Get to Heaven,201114,2008
N/A,Tryin' to Get to Heaven,201114,N/A
Time Out of Mind,Tryin' to Get to Heaven,201114,1997
N/A,Tupelo,1745392,N/A
Pat Garrett & Billy the Kid,Turkey Chase,199528,1973
N/A,Turkey Chase,199528,N/A
N/A,Tweedle Dee & Tweedle Dum,105498,N/A
Love and Theft,Tweedle Dee & Tweedle Dum,105498,2001
N/A,Two Soldiers,200936,N/A
World Gone Wrong,Two Soldiers,200936,1993
N/A,Two Trains Runnin',1452852,N/A
N/A,U.D. Blues,2129233,N/A
Down in the Groove,Ugliest Girl in the World,200611,1988
N/A,Ugliest Girl in the World,200611,N/A
Under the Red Sky,Unbelievable,200677,1990
N/A,Unbelievable,200677,N/A
N/A,Under Your Spell,200044,N/A
Knocked Out Loaded,Under Your Spell,200044,1986
N/A,Under the Red Sky,200674,N/A
Under the Red Sky,Under the Red Sky,200674,1990
N/A,Union Sundown,199956,N/A
Infidels,Union Sundown,199956,1983
N/A,Untitled 1 (Baby's Black),2393353,N/A
Another Side of Bob Dylan,Untitled 1 (Baby's Black),2393353,1964
Another Side of Bob Dylan,Untitled 10 (Politics),2393369,1964
N/A,Untitled 10 (Politics),2393369,N/A
Another Side of Bob Dylan,Untitled 11 (High Treachery Sails),2393372,1964
N/A,Untitled 11 (High Treachery Sails),2393372,N/A
N/A,Untitled 2 (For Francoise Hardy),2393357,N/A
Another Side of Bob Dylan,Untitled 2 (For Francoise Hardy),2393357,1964
Another Side of Bob Dylan,Untitled 3 (Everything Crawls),2393359,1964
N/A,Untitled 3 (Everything Crawls),2393359,N/A
N/A,Untitled 4 (Jack O'Diamonds Is a Hard Card t Play),2393360,N/A
